Sr.,Category,Quantity,Rate,Amount,% Amount
13,10  Yard,3,1181.00,3543.00,0.08
13,10  Yard,19,1150.00,21850.00,0.49
13,10  Yard,8,1360.00,10880.00,0.25
13,10  Yard,7,1150.00,8050.00,0.18
13,10  Yard,12,1097.00,13164.00,0.30
13,10  Yard,6,1129.00,6774.00,0.15
13,10  Yard,7,772.00,5404.00,0.12
13,10  Yard,7,583.00,4081.00,0.09
14,10 War,3,1522.50,4567.50,0.10
14,10 War,4,2615.00,10460.00,0.24
14,10 War,1,973.00,973.00,0.02
14,10 War,1,972.58,972.58,0.02
14,10 War,1,923.00,923.00,0.02
14,10 War,10,822.94,8229.40,0.19
14,10 War,4,823.00,3292.00,0.07
14,10 War,6,788.00,4728.00,0.11
14,10 War,2,673.32,1346.64,0.03
14,10 War,1,847.89,847.89,0.02
15,10 War Treditionl,2,1885.00,3770.00,0.09
15,10 War Treditionl,1,1732.00,1732.00,0.04
15,10 War Treditionl,4,1885.00,7540.00,0.17
15,10 War Treditionl,3,1025.32,3075.96,0.07
15,10 War Treditionl,2,1097.00,2194.00,0.05
15,10 War Treditionl,2,787.99,1575.98,0.04
16,10 War.,7,972.56,6807.92,0.15
16,10 War.,1,1097.25,1097.25,0.02
16,10 War.,3,1047.37,3142.11,0.07
17,10 Yard,1,1838.00,1838.00,0.04
17,10 Yard,3,2783.00,8349.00,0.19
17,10 Yard,7,1523.00,10661.00,0.24
17,10 Yard,3,1344.00,4032.00,0.09
17,10 Yard,1,1123.53,1123.53,0.03
17,10 Yard,1,1124.00,1124.00,0.03
17,10 Yard,7,1575.00,11025.00,0.25
17,10 Yard,4,1837.50,7350.00,0.17
17,10 Yard,6,2510.00,15060.00,0.34
17,10 Yard,2,1234.00,2468.00,0.06
20,10 Yrd,6,1286.28,7717.68,0.17
20,10 Yrd,7,887.26,6210.82,0.14
20,10 Yrd,14,1023.76,14332.64,0.32
20,10 Yrd,1,588.00,588.00,0.01
20,10 Yrd,1,519.76,519.76,0.01
20,10 Yrd,1,1312.52,1312.52,0.03
20,10 Yrd,1,673.00,673.00,0.02
20,10 Yrd,1,822.94,822.94,0.02
21,10 Yrd Cotton Silk,1,952.09,952.09,0.02
21,10 Yrd Cotton Silk,3,788.03,2364.09,0.05
21,10 Yrd Cotton Silk,1,788.00,788.00,0.02
