Sr.,Category,Quantity,Rate,Amount,% Amount
87,COTTON   SILK,1,582.75,582.75,0.01
87,COTTON   SILK,1,368.00,368.00,0.01
87,COTTON   SILK,1,367.51,367.51,0.01
87,COTTON   SILK,7,299.00,2093.00,0.05
88,COTTON  EM,4,1045.00,4180.00,0.09
88,COTTON  EM,5,474.00,2370.00,0.05
89,COTTON  PRINTS,1,184.53,184.53,0.00
91,COTTON BUTTY,1,413.97,413.97,0.01
91,COTTON BUTTY,4,578.00,2312.00,0.05
92,COTTON EM,12,677.00,8124.00,0.18
92,COTTON EM,1,369.09,369.09,0.01
93,COTTON PAITHANI,1,583.00,583.00,0.01
93,COTTON PAITHANI,3,1155.00,3465.00,0.08
Sr.,Category,Quantity,Rate,Amount,% Amount
94,COTTON PRINTS,2,364.09,728.18,0.02
95,COTTON SAREE,1,499.00,499.00,0.01
95,COTTON SAREE,1,498.77,498.77,0.01
96,COTTON SAREE .,1,893.00,893.00,0.02
96,COTTON SAREE .,2,504.00,1008.00,0.02
96,COTTON SAREE .,1,893.00,893.00,0.02
96,COTTON SAREE .,1,556.54,556.54,0.01
97,"COTTON SAREE .,",1,520.00,520.00,0.01
98,"COTTON SAREE,",2,347.00,694.00,0.02
98,"COTTON SAREE,",1,357.00,357.00,0.01
99,"COTTON SAREE,,",1,583.00,583.00,0.01
100,COTTON SAREE..,1,588.00,588.00,0.01
100,COTTON SAREE..,5,357.00,1785.00,0.04
101,COTTON SILK,2,524.00,1048.00,0.02
101,COTTON SILK,1,519.75,519.75,0.01
101,COTTON SILK,1,813.76,813.76,0.02
101,COTTON SILK,1,336.00,336.00,0.01
101,COTTON SILK,2,325.50,651.00,0.01
101,COTTON SILK,1,512.68,512.68,0.01
103,COTTON SILK1,2,551.25,1102.50,0.02
103,COTTON SILK1,45,551.00,24795.00,0.56
103,COTTON SILK1,5,603.75,3018.75,0.07
103,COTTON SILK1,8,551.00,4408.00,0.10
103,COTTON SILK1,91,162.75,14810.25,0.33
104,CRAPE,3,242.00,726.00,0.02
104,CRAPE,20,204.75,4095.00,0.09
105,CRAPE SILK,4,1097.00,4388.00,0.10
106,DESIGNER,3,2930.00,8790.00,0.20
106,DESIGNER,2,3066.00,6132.00,0.14
106,DESIGNER,2,3171.00,6342.00,0.14
106,DESIGNER,3,2079.00,6237.00,0.14
106,DESIGNER,3,2562.00,7686.00,0.17
106,DESIGNER,3,2331.00,6993.00,0.16
106,DESIGNER,3,3045.00,9135.00,0.21
106,DESIGNER,2,972.00,1944.00,0.04
106,DESIGNER,1,913.00,913.00,0.02
107,DESIGNER FANCY,2,3354.75,6709.50,0.15
107,DESIGNER FANCY,1,2205.00,2205.00,0.05
107,DESIGNER FANCY,7,1155.00,8085.00,0.18
108,DESIGNER NET,2,1791.00,3582.00,0.08
108,DESIGNER NET,21,1155.00,24255.00,0.55
112,DHARMA SILK,1,748.12,748.12,0.02
113,DHARMA VARM,1,693.01,693.01,0.02
113,DHARMA VARM,4,1775.00,7100.00,0.16
113,DHARMA VARM,2,1008.01,2016.02,0.05
114,DIAMOND WORK,4,887.24,3548.96,0.08
115,DIGITAL,2,393.76,787.52,0.02
115,DIGITAL,1,709.00,709.00,0.02
116,DIGITAL  FANCY,1,577.50,577.50,0.01
117,DIGITAL CHIFFON,16,415.00,6640.00,0.15
118,DIGITAL COTTON,13,341.26,4436.38,0.10
119,DIGITAL FANCY,1,431.00,431.00,0.01
119,DIGITAL FANCY,2,430.50,861.00,0.02
120,DIGITAL PRINT,1,708.76,708.76,0.02
120,DIGITAL PRINT,1,472.50,472.50,0.01
120,DIGITAL PRINT,2,347.00,694.00,0.02
122,DIGITAL WORK,3,1047.00,3141.00,0.07
124,DIGITAL..,3,723.20,2169.60,0.05
124,DIGITAL..,1,685.00,685.00,0.02
125,DOLA  SILK,1,326.00,326.00,0.01
125,DOLA  SILK,3,788.00,2364.00,0.05
126,DOLA BUTI,2,829.50,1659.00,0.04
127,DOLA SILK,1,735.00,735.00,0.02
131,FANC Y,12,519.75,6237.00,0.14
Sr.,Category,Quantity,Rate,Amount,% Amount
131,FANC Y,1,556.50,556.50,0.01
131,FANC Y,2,603.75,1207.50,0.03
131,FANC Y,2,703.50,1407.00,0.03
131,FANC Y,2,635.25,1270.50,0.03
132,FANCY,4,488.26,1953.04,0.04
132,FANCY,1,1034.00,1034.00,0.02
132,FANCY,7,1097.00,7679.00,0.17
132,FANCY,1,278.25,278.25,0.01
132,FANCY,4,932.00,3728.00,0.08
132,FANCY,6,1260.00,7560.00,0.17
132,FANCY,8,289.00,2312.00,0.05
132,FANCY,4,231.00,924.00,0.02
132,FANCY,7,341.00,2387.00,0.05
132,FANCY,5,1024.00,5120.00,0.12
132,FANCY,1,735.00,735.00,0.02
132,FANCY,10,1339.00,13390.00,0.30
132,FANCY,4,367.50,1470.00,0.03
132,FANCY,7,971.26,6798.82,0.15
132,FANCY,3,656.25,1968.75,0.04
132,FANCY,2,761.25,1522.50,0.03
132,FANCY,6,850.00,5100.00,0.12
134,FANCY  SILK,2,341.00,682.00,0.02
135,FANCY BANARASI,17,1234.00,20978.00,0.47
136,FANCY EM,3,939.77,2819.31,0.06
136,FANCY EM,4,1023.77,4095.08,0.09
136,FANCY EM,4,761.27,3045.08,0.07
136,FANCY EM,5,677.27,3386.35,0.08
138,FANCY PATTU SAREE,1,634.72,634.72,0.01
139,FANCY SAREE,1,708.75,708.75,0.02
140,FANCY SAREE.,1,247.00,247.00,0.01
140,FANCY SAREE.,1,278.00,278.00,0.01
140,FANCY SAREE.,1,404.00,404.00,0.01
141,FANCY SILK,24,420.00,10080.00,0.23
141,FANCY SILK,1,252.00,252.00,0.01
141,FANCY SILK,27,220.50,5953.50,0.13
141,FANCY SILK,1,273.01,273.01,0.01
141,FANCY SILK,7,273.00,1911.00,0.04
141,FANCY SILK,1,965.00,965.00,0.02
142,FANCY SILK ..,1,1013.26,1013.26,0.02
142,FANCY SILK ..,1,819.00,819.00,0.02
144,FANCY.,2,630.00,1260.00,0.03
146,GEROGETTE,5,452.00,2260.00,0.05
147,GHADWAL,2,1181.00,2362.00,0.05
147,GHADWAL,6,619.51,3717.06,0.08
147,GHADWAL,2,714.00,1428.00,0.03
150,GHADWAL EM,3,324.19,972.57,0.02
150,GHADWAL EM,2,503.73,1007.46,0.02
152,GHADWAL.,3,683.56,2050.68,0.05
152,GHADWAL.,1,732.38,732.38,0.02
154,HAND WORK B/P,1,1496.25,1496.25,0.03
154,HAND WORK B/P,2,1417.50,2835.00,0.06
154,HAND WORK B/P,17,725.00,12325.00,0.28
157,INDURI BORDER,1,383.00,383.00,0.01
158,IRCAL,1,735.00,735.00,0.02
159,IRKAL,1,777.00,777.00,0.02
160,JAL,34,325.50,11067.00,0.25
160,JAL,6,325.51,1953.06,0.04
160,JAL,8,325.49,2603.92,0.06
160,JAL,2,336.00,672.00,0.02
160,JAL,5,368.00,1840.00,0.04
160,JAL,25,283.50,7087.50,0.16
161,JAL WORK,2,787.50,1575.00,0.04
164,JAMDANI SILK,6,2389.00,14334.00,0.32
Sr.,Category,Quantity,Rate,Amount,% Amount
164,JAMDANI SILK,4,746.00,2984.00,0.07
166,JARI,5,1047.00,5235.00,0.12
166,JARI,1,1102.52,1102.52,0.02
171,KADIYAL SILK,1,1260.00,1260.00,0.03
171,KADIYAL SILK,3,1575.00,4725.00,0.11
172,KALMKARI,6,274.00,1644.00,0.04
173,KALYANI,2,693.00,1386.00,0.03
173,KALYANI,15,703.52,10552.80,0.24
174,KANJIVARAM,3,661.50,1984.50,0.04
174,KANJIVARAM,7,656.00,4592.00,0.10
174,KANJIVARAM,6,467.00,2802.00,0.06
174,KANJIVARAM,5,462.00,2310.00,0.05
